"category","sub_category","role","relative_path","extension","width","height","size_bytes","recommended_use"
"bgm_audio","aiwfc.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/aiwfc.ogg",".ogg",,,"5317420","Optional BGM playback; check volume/loop metadata later."
"bgm_audio","ddlc_maintheme_80s.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/ddlc_maintheme_80s.ogg",".ogg",,,"2833067","Optional BGM playback; check volume/loop metadata later."
"bgm_audio","eurobeatreality.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/eurobeatreality.ogg",".ogg",,,"1889783","Optional BGM playback; check volume/loop metadata later."
"bgm_audio","happy_story_telling.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/happy_story_telling.ogg",".ogg",,,"862498","Optional BGM playback; check volume/loop metadata later."
"bgm_audio","Monika's Lullaby.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/Monika's Lullaby.ogg",".ogg",,,"5784671","Optional BGM playback; check volume/loop metadata later."
"bgm_audio","PaC.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/PaC.ogg",".ogg",,,"14242992","Optional BGM playback; check volume/loop metadata later."
"bgm_audio","runereality.ogg/bgm","Background music candidates","MAS/game/mod_assets/bgm/runereality.ogg",".ogg",,,"2917118","Optional BGM playback; check volume/loop metadata later."
"calendar_assets","calendar_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_bg.png",".png","900","514","4987","Review manually before use."
"calendar_assets","calendar_bg-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_bg-n.png",".png","900","514","4967","Review manually before use."
"calendar_assets","calendar_button_hover.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_button_hover.png",".png","60","35","3320","Review manually before use."
"calendar_assets","calendar_button_normal.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_button_normal.png",".png","60","35","3205","Review manually before use."
"calendar_assets","calendar_button_normal-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_button_normal-n.png",".png","60","35","2706","Review manually before use."
"calendar_assets","calendar_button_shadow.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_button_shadow.png",".png","80","55","634","Review manually before use."
"calendar_assets","calendar_close.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_close.png",".png","74","74","3205","Review manually before use."
"calendar_assets","calendar_close_hover.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_close_hover.png",".png","74","74","1769","Review manually before use."
"calendar_assets","calendar_close_hover-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_close_hover-n.png",".png","74","74","1868","Review manually before use."
"calendar_assets","calendar_close-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_close-n.png",".png","74","74","1920","Review manually before use."
"calendar_assets","calendar_day_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_bg.png",".png","128","65","1884","Review manually before use."
"calendar_assets","calendar_day_bg-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_bg-n.png",".png","128","65","327","Review manually before use."
"calendar_assets","calendar_day_disabled_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_disabled_bg.png",".png","128","65","720","Review manually before use."
"calendar_assets","calendar_day_disabled_bg-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_disabled_bg-n.png",".png","128","65","373","Review manually before use."
"calendar_assets","calendar_day_hover_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_hover_bg.png",".png","128","65","374","Review manually before use."
"calendar_assets","calendar_day_name_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_name_bg.png",".png","128","35","1553","Review manually before use."
"calendar_assets","calendar_day_name_bg-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_day_name_bg-n.png",".png","128","35","207","Review manually before use."
"calendar_assets","calendar_left_arrow.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_left_arrow.png",".png","20","20","1962","Review manually before use."
"calendar_assets","calendar_left_arrow_hover.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_left_arrow_hover.png",".png","20","20","427","Review manually before use."
"calendar_assets","calendar_left_arrow_hover-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_left_arrow_hover-n.png",".png","20","20","479","Review manually before use."
"calendar_assets","calendar_left_arrow-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_left_arrow-n.png",".png","20","20","479","Review manually before use."
"calendar_assets","calendar_right_arrow.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_right_arrow.png",".png","20","20","1959","Review manually before use."
"calendar_assets","calendar_right_arrow_hover.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_right_arrow_hover.png",".png","20","20","429","Review manually before use."
"calendar_assets","calendar_right_arrow_hover-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_right_arrow_hover-n.png",".png","20","20","471","Review manually before use."
"calendar_assets","calendar_right_arrow-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_right_arrow-n.png",".png","20","20","472","Review manually before use."
"calendar_assets","calendar_today_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_today_bg.png",".png","128","65","358","Review manually before use."
"calendar_assets","calendar_today_bg-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_today_bg-n.png",".png","128","65","349","Review manually before use."
"calendar_assets","calendar_today_disabled_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_today_disabled_bg.png",".png","128","65","372","Review manually before use."
"calendar_assets","calendar_today_disabled_bg-n.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_today_disabled_bg-n.png",".png","128","65","367","Review manually before use."
"calendar_assets","calendar_today_hover_bg.png/calendar","Visual/UI resource","MAS/game/mod_assets/calendar/calendar_today_hover_bg.png",".png","128","65","368","Review manually before use."
